,dt,inn,gtin,prid,operation_type,cnt
265214,2022-03-10,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
268798,2022-03-11,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
270769,2022-03-13,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
284460,2022-06-24,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
286203,2022-06-26,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
289809,2022-03-15,77F82E55113DC87D9DD6E67AC7C3B6A7,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Импорт. Не ЕАЭС,1002
301007,2021-12-24,7212AD71AEBC10E2AF761E416E6C3B76,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
303615,2021-12-25,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,2
304576,2022-06-27,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
308104,2022-06-29,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
309275,2022-06-30,6B8E111AB5B5C556C0AEA292ACA4D88B,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
329139,2022-07-03,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
330897,2022-07-04,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
332600,2022-07-05,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,2
347606,2021-12-29,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
351390,2021-12-30,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,2
354825,2022-07-08,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,2
357726,2022-07-11,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
361279,2022-07-13,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
370275,2022-01-01,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
375142,2022-01-05,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
379475,2022-07-14,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
386898,2022-03-31,F3907BFDD402FD883DCCEE92AF490A74,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
399412,2022-01-10,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
403022,2022-07-19,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,2
405227,2022-07-20,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
408128,2022-07-21,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
410279,2022-07-22,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
417732,2022-04-10,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
420938,2022-01-12,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
423659,2022-01-13,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,2
428645,2022-07-24,6B8E111AB5B5C556C0AEA292ACA4D88B,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
431081,2022-07-25,81AAC456284F455FC2B141E6E8F1A76C,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
451919,2022-07-27,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
455087,2022-07-29,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
455156,2022-07-29,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
459783,2022-08-02,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
480512,2022-08-04,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
491980,2022-04-20,81AAC456284F455FC2B141E6E8F1A76C,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
493614,2022-01-22,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
497631,2022-01-24,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
501401,2022-08-07,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
504330,2022-08-08,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
508956,2022-08-11,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,2
518938,2022-01-26,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
528642,2022-08-13,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
531241,2022-08-15,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
531505,2022-08-15,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
533343,2022-08-16,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
533417,2022-08-16,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
545450,2022-01-31,6B8E111AB5B5C556C0AEA292ACA4D88B,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
551573,2022-08-17,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
551710,2022-08-17,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
553366,2022-08-18,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
553474,2022-08-18,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
555715,2022-08-19,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
555793,2022-08-19,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
557135,2022-08-21,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
557192,2022-08-21,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
567431,2022-08-22,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
569446,2022-08-23,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,3
575824,2022-08-27,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,3
576008,2022-08-27,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,3
576630,2022-08-28,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
580847,2022-08-30,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,2
583593,2022-09-01,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
585441,2022-09-02,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,2
585952,2022-09-03,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
591172,2022-09-06,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
591259,2022-09-06,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
597879,2022-09-10,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
610432,2022-09-18,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
611734,2022-09-19,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
613892,2022-09-20,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
616921,2022-09-21,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
620496,2022-09-22,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
630193,2022-09-27,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
631489,2022-09-28,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
640144,2022-10-04,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,2
645842,2022-10-07,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
647672,2022-10-09,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
656620,2022-10-13,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
674946,2022-10-21,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
686251,2022-10-27,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
690937,2022-10-30,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,3
699175,2022-11-03,CD2480BB07FCE7AB6AC3606F454C3B1D,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
701655,2022-11-05,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
704720,2022-11-07,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
711415,2022-11-10,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,2
714038,2022-11-11,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,2
715913,2022-11-13,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
719706,2022-11-14,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
734522,2022-11-18,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
735759,2022-11-19,0E8EEC5192C68CF67F0E02AE30AFB56A,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,Возврат,1
5364,2022-05-11,32D845A9CC2A5BFA9F77CAE0E9A905A5,1D6A8A0532B5638D1E1E2B24EEF3A936,32D845A9CC2A5BFA9F77CAE0E9A905A5,Возврат,2
7861,2022-05-12,32D845A9CC2A5BFA9F77CAE0E9A905A5,1D6A8A0532B5638D1E1E2B24EEF3A936,32D845A9CC2A5BFA9F77CAE0E9A905A5,Возврат,2
16277,2022-02-04,32D845A9CC2A5BFA9F77CAE0E9A905A5,1D6A8A0532B5638D1E1E2B24EEF3A936,32D845A9CC2A5BFA9F77CAE0E9A905A5,Возврат,1
30960,2022-02-07,32D845A9CC2A5BFA9F77CAE0E9A905A5,1D6A8A0532B5638D1E1E2B24EEF3A936,32D845A9CC2A5BFA9F77CAE0E9A905A5,Возврат,3
34285,2021-11-23,32D845A9CC2A5BFA9F77CAE0E9A905A5,1D6A8A0532B5638D1E1E2B24EEF3A936,32D845A9CC2A5BFA9F77CAE0E9A905A5,Возврат,5
39401,2021-11-24,32D845A9CC2A5BFA9F77CAE0E9A905A5,1D6A8A0532B5638D1E1E2B24EEF3A936,32D845A9CC2A5BFA9F77CAE0E9A905A5,Возврат,2
54944,2021-11-26,32D845A9CC2A5BFA9F77CAE0E9A905A5,1D6A8A0532B5638D1E1E2B24EEF3A936,32D845A9CC2A5BFA9F77CAE0E9A905A5,Возврат,2
63112,2022-02-14,32D845A9CC2A5BFA9F77CAE0E9A905A5,1D6A8A0532B5638D1E1E2B24EEF3A936,32D845A9CC2A5BFA9F77CAE0E9A905A5,Возврат,1
66870,2022-02-15,32D845A9CC2A5BFA9F77CAE0E9A905A5,1D6A8A0532B5638D1E1E2B24EEF3A936,32D845A9CC2A5BFA9F77CAE0E9A905A5,Возврат,2
