,dt,gtin,prid,sender_inn,receiver_inn,cnt_moved
126733,2022-09-19,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,776D1995E9EF6B37B216B5BCD4183667,1
205800,2022-06-21,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,939BCD2D63EA509F326C4D0CB80CFAA2,01678A32C7CEF7821EF48984AF1294E6,4
224223,2022-03-28,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,D3F8B286B949AD667511C6963E910114,3
252881,2022-07-13,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,EA457D1A8294A7B745BD8758B62D9B18,25DD67DDAEE1CCAA4F75D91499034ED2,2
263118,2022-08-01,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,519FAA35A100FDE63A67CDB1A9CB720A,1
266642,2022-08-02,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,D3F8B286B949AD667511C6963E910114,6
316464,2022-05-26,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,A2630E906B9179D778C997A8F394CF7A,65B1F5C19C79019823C77D352A4F11FF,2
326608,2022-08-25,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,0E8EEC5192C68CF67F0E02AE30AFB56A,72
327383,2022-08-25,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,D3F8B286B949AD667511C6963E910114,4
328889,2022-08-25,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,12
331843,2022-08-25,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,A2630E906B9179D778C997A8F394CF7A,2F4F6AE7ECA4361A6C59CA6077F2B361,1
334821,2021-11-22,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,81AAC456284F455FC2B141E6E8F1A76C,A76D2B5AEB903A6F52715DE25D1A8219,2
336269,2021-11-22,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,DD3924C3F35CFC1D7AD5006C710DB029,4
336486,2021-11-22,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,AC10DCD63C5B8CCF4B8E09739AD2CCAC,2
356201,2022-01-11,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,776D1995E9EF6B37B216B5BCD4183667,1
377969,2022-03-29,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,C5C571268054CF5856530C5284D8678C,1
403488,2022-08-05,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,12
404668,2022-08-05,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,0E8EEC5192C68CF67F0E02AE30AFB56A,66
505467,2022-08-26,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,A2630E906B9179D778C997A8F394CF7A,1
509693,2022-08-26,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,81450C425D2D97FEC5B491DE0142B82E,A76D2B5AEB903A6F52715DE25D1A8219,2
510301,2022-08-26,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,5C90B157D070BB16BEC4324C0CC4D67F,2
517361,2022-08-02,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,AD8DB3B69E2B4D0BA070002EB0F3D133,1
533319,2022-07-14,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,D3F8B286B949AD667511C6963E910114,4
541691,2022-04-05,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,8
587193,2022-05-12,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,81450C425D2D97FEC5B491DE0142B82E,1
613331,2022-01-11,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,DD3924C3F35CFC1D7AD5006C710DB029,3
617322,2022-01-11,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,3CFB0A1526B2EB13182973A86E9CC944,1
617400,2022-01-11,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,B6D3FC3661E47A30E2579CF85C81F179,121E2A82A08A5E1DB7A87041AE3D8154,1
623975,2021-12-10,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,15D2998AB2ABC00A95C7A7E83CB83791,6
675761,2021-12-27,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,7D7A21ACC929FAD6E4D122E059AE7622,2
744247,2022-04-28,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,51CDCC576C762C54C1517EA0C5B355CC,3
746893,2022-04-28,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,1723501B9C949468ED461F1FCE4A2A5A,1
767297,2021-12-03,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,CD2480BB07FCE7AB6AC3606F454C3B1D,51
776071,2022-08-02,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,B12B1D05C1B43DD2B7BC0902584D11B1,2
780331,2022-08-03,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,D3F8B286B949AD667511C6963E910114,1
803545,2022-04-06,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,33
807562,2022-04-06,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,B6D3FC3661E47A30E2579CF85C81F179,5
836417,2022-05-27,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,A2630E906B9179D778C997A8F394CF7A,2
841976,2022-05-12,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,D9A89310B3C2E03F3FFCB29735D14BE5,1
852599,2022-08-26,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,D3F8B286B949AD667511C6963E910114,2
865511,2021-11-23,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,81AAC456284F455FC2B141E6E8F1A76C,A76D2B5AEB903A6F52715DE25D1A8219,1
865741,2021-11-23,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,5AE23EAAAC61FCF3D4FB7EF4618AFCEB,2
875905,2022-01-11,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,51B77DDFA361822A64F37F1294BD8174,1
876824,2022-01-11,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,C5C571268054CF5856530C5284D8678C,2
884016,2021-12-10,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,20
884631,2021-12-10,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,D3F8B286B949AD667511C6963E910114,3
890980,2022-10-10,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,B5F110B36D2B94BF0AD6CC029167FAF8,1
935632,2021-12-27,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,939BCD2D63EA509F326C4D0CB80CFAA2,01678A32C7CEF7821EF48984AF1294E6,2
983187,2022-10-17,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,1D71716DE3A263F9908A835DB8F6A08E,6
1021612,2021-12-03,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,D3F8B286B949AD667511C6963E910114,7
1023160,2021-12-03,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,10
1054466,2022-07-14,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,2528090D4C207B66D2379E1B21FBCB17,18
1062947,2022-04-06,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,5CA5217DFC39CEBBD84486C20819E680,3
1068391,2022-04-07,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,1D71716DE3A263F9908A835DB8F6A08E,12
1096847,2022-05-27,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,F812561C1B272E2B67261C168BED58BB,6
1107447,2022-05-13,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,5
1118484,2022-08-29,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,D3F8B286B949AD667511C6963E910114,3
1122540,2021-11-23,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,DD3924C3F35CFC1D7AD5006C710DB029,2
1126488,2021-11-24,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,6B8E111AB5B5C556C0AEA292ACA4D88B,3
1147226,2021-12-11,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,CD2480BB07FCE7AB6AC3606F454C3B1D,20
1225301,2022-03-03,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,939BCD2D63EA509F326C4D0CB80CFAA2,01678A32C7CEF7821EF48984AF1294E6,5
1292926,2022-08-29,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,5CA5217DFC39CEBBD84486C20819E680,EC32658F10E46693F0E1C98483ABE2A0,1
1309640,2022-06-22,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,C68BA4F53627FDB4E4A7384D0856E141,1
1318368,2022-07-15,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,D3F8B286B949AD667511C6963E910114,3
1332254,2022-04-08,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,EF623E3D0615C22A4F7744A9961D4832,2
1341021,2021-11-23,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,25977F1E02F92D2B5AB3605B196C7ACB,3
1341065,2021-11-23,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,5
1344939,2021-11-23,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,B6D3FC3661E47A30E2579CF85C81F179,776D1995E9EF6B37B216B5BCD4183667,2
1345155,2021-11-23,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,D3F8B286B949AD667511C6963E910114,1
1363568,2022-05-30,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,776D1995E9EF6B37B216B5BCD4183667,7
1404346,2022-01-12,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,B6D3FC3661E47A30E2579CF85C81F179,8475D37A7EC6161324D67FA7D0F17C9D,1
1425876,2022-03-31,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,D3F8B286B949AD667511C6963E910114,77F82E55113DC87D9DD6E67AC7C3B6A7,36
1448946,2022-08-08,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,D3F8B286B949AD667511C6963E910114,3
1513979,2022-02-01,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,B6D3FC3661E47A30E2579CF85C81F179,600B94AE3404C4A2DA10E7BB77F6BF0B,1
1547018,2021-12-05,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,D3F8B286B949AD667511C6963E910114,1
1596938,2022-03-05,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,B6D3FC3661E47A30E2579CF85C81F179,C0AE7D2E53BE351C4218CE0F6825C0DC,1
1638793,2022-08-30,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,D3F8B286B949AD667511C6963E910114,8
1639881,2022-08-30,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,12
1643010,2022-08-30,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,688DE6A56FCD0AAD5336216E666498B6,2
1663601,2022-01-13,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,A2630E906B9179D778C997A8F394CF7A,65B1F5C19C79019823C77D352A4F11FF,2
1670197,2021-12-13,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,12
1711930,2022-08-09,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,B12B1D05C1B43DD2B7BC0902584D11B1,1
1722667,2021-12-28,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,776D1995E9EF6B37B216B5BCD4183667,1
1724274,2021-12-28,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,D3F8B286B949AD667511C6963E910114,77F82E55113DC87D9DD6E67AC7C3B6A7,1
1730234,2022-06-14,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,81AAC456284F455FC2B141E6E8F1A76C,25
1733614,2022-06-14,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,8E317A71E0A816C9A38BE027F9A7F687,1
1845884,2022-07-18,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,519FAA35A100FDE63A67CDB1A9CB720A,1
1858229,2022-03-07,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,B6D3FC3661E47A30E2579CF85C81F179,776D1995E9EF6B37B216B5BCD4183667,2
1860567,2022-03-07,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,873B696A5DF8CFEACD00D0D7F601E3A8,4BC23BE04CE058786F2A645468712564,1
1871357,2021-11-24,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,CD2480BB07FCE7AB6AC3606F454C3B1D,95
1890580,2022-05-16,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,81AAC456284F455FC2B141E6E8F1A76C,1
1908980,2021-11-25,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,2202170A35738E0D29EF8A24BEFF0FBB,5
1910579,2021-11-25,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,DD3924C3F35CFC1D7AD5006C710DB029,7
1930600,2022-01-13,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,DD3924C3F35CFC1D7AD5006C710DB029,38
1933853,2021-12-13,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,AC36E7917E788C8833533B890BD22624,2
1974225,2022-08-09,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,CD2480BB07FCE7AB6AC3606F454C3B1D,12
1975881,2022-08-09,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,D3F8B286B949AD667511C6963E910114,1
1990807,2022-06-14,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,B3E7C89F16645E7F5948929E4E319DA2,1
2018819,2022-09-21,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,6B8E111AB5B5C556C0AEA292ACA4D88B,9
2071826,2021-12-06,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,CD2480BB07FCE7AB6AC3606F454C3B1D,59
2089505,2022-08-05,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,A2630E906B9179D778C997A8F394CF7A,1
2096038,2022-06-24,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,B893F71FA73C5D731FAEA68FBE3D60E8,2
2103934,2022-07-18,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,12
2105854,2022-07-18,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,B98CD1C2FB3294946B851F238B535470,1
2107012,2022-07-18,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,D3F8B286B949AD667511C6963E910114,1
2109329,2022-07-19,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,8E317A71E0A816C9A38BE027F9A7F687,1
2111765,2022-04-11,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,D3F8B286B949AD667511C6963E910114,2
2118422,2022-04-12,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,18
2123471,2022-03-09,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3E1573D8103BDB94D83D3E47D20842A4,E3A60A40A94F2F9861AF34EB364ABDD6,1
2127054,2022-03-09,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,B6D3FC3661E47A30E2579CF85C81F179,776D1995E9EF6B37B216B5BCD4183667,1
2127987,2021-11-24,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,18
2136330,2022-07-12,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,EA457D1A8294A7B745BD8758B62D9B18,2
2141946,2022-07-12,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,8E317A71E0A816C9A38BE027F9A7F687,1
2155478,2022-05-17,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,81AAC456284F455FC2B141E6E8F1A76C,6
2161695,2022-08-31,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,15
2163550,2022-08-31,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,CD2480BB07FCE7AB6AC3606F454C3B1D,10
2192563,2022-01-14,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,A2630E906B9179D778C997A8F394CF7A,2
2196910,2022-10-13,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,B5F110B36D2B94BF0AD6CC029167FAF8,2
2203069,2021-12-14,87D6169E49E494EF8C40B172C73DE9A8,77F82E55113DC87D9DD6E67AC7C3B6A7,77F82E55113DC87D9DD6E67AC7C3B6A7,3C26A843307263F342805F5C84C862D3,80
